_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
3692901,1.0,1,1,False,Amed ,,-8.335871047770878,115.64906972524372,1.0,"Hoky Homestay & Cafe | Amed, Bali",Amed,False,2,14,nightly,3,False,107,private_room,#1B2212,1,4.0,False,0,18801900,Made,False,1.0
16849082,1.0,1,1,False,Karangasem Regency,"en,id",-8.336109412631448,115.65026317168648,0.9,Kadek Homestay cozy aparts on the beach,Amed,False,2,13,nightly,40,False,45,private_room,#272822,1,4.5,False,0,112203690,Kadek,False,0.93
7058723,1.0,1,1,False,Karangasem Regency,,-8.334680011420152,115.6467642481949,1.0,"Tejo Amed Homestay, Great View, 3",Amed,False,2,10,nightly,3,False,33,private_room,#352A24,1,4.5,False,0,37015535,Ketut,False,1.0
7058890,1.0,1,1,False,Karangasem Regency,,-8.334861480355329,115.64696459859631,1.0,"Tejo Amed Homestay, good view, 4",Amed,False,2,10,nightly,3,False,71,private_room,#27262C,1,4.5,False,0,37015535,Ketut,False,1.0
16978040,2.0,1,6,False,Abang,fr,-8.338911064123073,115.65796678328425,1.0,Ocean Prana Freedivers village Mixed AC dorm,Amed,False,1,10,nightly,9,False,2,shared_room,#150E06,1,,True,0,110719411,Yoram,False,1.0
3629252,3.0,1,1,False,amed,"en,es,fr",-8.333926907424438,115.63223231264057,1.0,fab dive center Dormitory,Amed,False,1,10,nightly,9,False,26,shared_room,#1B251C,1,4.5,False,0,8478344,Fabien,False,0.99
6056603,1.0,1,1,False,Abang,"en,es,fr",-8.335305425927698,115.63343274818996,1.0,"Room with 6 beds,A/C,perfect for group of friends",Amed,False,1,10,nightly,9,False,1,shared_room,#1B1612,1,,False,0,8478344,Fabien,False,0.72
8312220,1.0,1,1,False,Abang,"en,id,ja",-8.358157802445138,115.69529876616897,1.0,Aquaterrace Amed ocean front rooms,Amed,False,3,82,nightly,3,False,41,private_room,#06195B,1,5.0,True,0,5915396,Aquaterrace,False,1.0
2403103,1.0,1,1,False,Abang,"de,en,fr,id,it",-8.341979701684204,115.66768635516074,1.0,BALI MARINA VILLAS FRANGIPANI VILLA AMED,Amed,False,2,92,nightly,43,False,68,private_room,#201A0C,1,5.0,True,0,11033034,Kadek,False,1.0
20590396,1.0,2,4,False,Abang,"cs,en,id",-8.358467859910197,115.69632186543731,0.7,"Family Beach Front Bungalow in Amed, Selang Resort",Amed,False,4,90,nightly,43,False,0,private_room,#101008,1,,False,0,147117231,Selang,False,0.9
20789587,1.0,1,1,False,Amed,,-8.334086,115.653603,0.9,AMED BEACH VILLA......POOL ROOM.,Bali,False,2,90,nightly,3,False,0,private_room,#161A19,1,,False,0,6746395,David,False,0.9
13177020,1.0,1,3,False,Karangasem Regency,,-8.365149298114916,115.69987287394002,1.0,Ekapurnama Family House,Amed,False,4,90,nightly,2,False,4,entire_home,#2B241A,1,5.0,False,0,72213231,George,False,1.0
21966679,1.0,1,1,False,Abang,,-8.334334,115.653267,0.9,AMED BEACH VILLA ...BEACH ROOM.,Bali,False,2,90,nightly,3,False,0,private_room,#3F4044,1,,False,0,6746395,David,False,0.9
19042371,2.0,1,5,False,Abang,"en,es,id,it,ms",-8.338240421302846,115.64233076997506,0.8,Aura Villa & Spa - Amed - Bali,Amed,False,5,87,nightly,11,False,4,entire_home,#1B1D12,1,5.0,False,0,132904859,Mario,False,0.9
19463809,1.0,2,2,False,Abang,"en,id,ms,zh",-8.331415452269507,115.63870563852402,1.0,"SARASWATI RETREAT, AMED, a balinese beach house",Amed,False,4,75,nightly,11,False,23,entire_home,#26252A,1,5.0,True,0,135664048,Saraswati,False,1.0
10478626,2.0,2,2,False,Karangasem Regency,,-8.351301615474968,115.68401205999241,1.0,Shankara Parada: two-bedroom villa,Bali,False,4,75,nightly,11,False,7,entire_home,#1D2441,1,4.5,False,0,47299682,Nyoman,False,1.0
17737122,2.0,2,2,False,Karangasem Regency,"de,en,id",-8.344667,115.67057,1.0,Amed Harmony Private Pool Villa,Amed,False,4,75,nightly,3,False,2,private_room,#071808,1,,False,0,17086164,Anis,False,1.0
21982674,1.0,1,2,False,Abang,,-8.333493,115.654587,0.9,AMED BEACH VILLA...CORNER DELUXE,Bali,False,2,75,nightly,3,False,0,private_room,#090708,1,,False,0,6746395,David,False,0.9
20886403,2.0,2,2,False,Abang,"en,id",-8.331682951482858,115.63705088083036,1.0,Ulam Bali Villa,Amed,False,4,77,nightly,11,False,0,entire_home,#39322C,1,,False,0,149909111,Putu,False,1.0
9739379,2.0,2,2,False,Karangasem Regency,"en,id",-8.335800458485991,115.6533995856188,1.0,'Infinity' Beach House.Charming private villa-Amed,Amed,False,4,62,nightly,2,False,59,entire_home,,1,5.0,True,0,50250339,I Gede,False,1.0
11283631,3.0,3,4,False,Abang,"en,id",-8.345663,115.671684,0.85,Rumah Adi - Pool & Mountain Views!,Amed,False,6,65,nightly,42,False,24,private_room,#251F1F,1,4.5,False,0,58290485,I Nyoman,False,0.9
5863564,1.0,1,1,False,"Bebayu near Amed ,Abang Karangasem Sub-District Bali Indonesia","de,en,id",-8.325570859175503,115.63229159624979,1.0,"Balila beach resort, Lotus room with VIEW!",Amed,False,2,64,nightly,43,False,42,private_room,#131210,1,5.0,False,0,1513897,Birgit,False,0.8
19575206,1.0,4,4,False,Abang,,-8.34767342030491,115.67986426953884,1.0,Bintang Beach Villas,Amed,False,2,67,nightly,11,False,0,entire_home,#19140E,1,,False,0,137577163,Bintang Beach,False,1.0
11217561,2.0,2,2,False,Karangasem Regency,"en,id",-8.346054,115.672287,0.8,Villa Adi Garden Retreat,Amed,False,4,62,nightly,11,False,3,entire_home,#311D16,1,5.0,False,0,58290485,I Nyoman,False,0.85
9302933,3.0,4,4,False,Karangasem Regency,"en,id",-8.342027189784192,115.66678689161988,0.9,Tymor Villa in Amed,Amed,False,10,67,nightly,11,False,12,entire_home,#3B260B,1,4.0,False,0,39404651,Eva,False,1.0
4738101,1.0,1,1,False,Abang,"en,id,ja",-8.358355769212949,115.6936484200064,1.0,Ocean view rooms &pool-Terrace room,Amed,False,3,60,nightly,3,False,58,private_room,#38382E,1,5.0,True,0,5915396,Aquaterrace,False,1.0
1075199,1.0,1,1,False,Abang,"en,id,ja",-8.357869698120604,115.69507717620756,1.0,Stunning 180°Ocean view rooms &pool,Amed,False,3,52,nightly,3,False,174,private_room,#37372B,1,5.0,True,0,5915396,Aquaterrace,False,0.87
20138222,1.0,1,1,False,Abang,,-8.33096145607198,115.63893032829719,0.9,Melasti Beach Bungalows Amed - Beachfront Bungalow,Amed,False,4,60,nightly,38,False,17,entire_home,#1C272D,1,5.0,True,0,53345082,Missy,False,0.95
3878123,1.0,1,1,False,Amed,"en,id",-8.33071203895114,115.63836809045274,1.0,Amed  BeachFront  Villa  PrivateSuite   1,Amed,False,2,56,nightly,2,False,55,private_room,#29452E,1,5.0,True,0,20043956,Ketut,False,1.0
4029192,1.0,1,1,False,Karangasem,"en,id",-8.336191867866463,115.65089762244673,0.79,Cozy Beach House Amed-Putra Lebah,Amed,False,2,45,nightly,60,False,30,entire_home,#0E090F,1,4.5,True,0,1395389,Wayan,False,0.9
